Region,RegionCode,YearCode,avh,emp,rgdpo,avh_emp,productivity
Europe and Central Asia,BIH,1960,2080.0,1.68987882137299,4715.13427734375,3514.947948455819,1.341452091606419
Europe and Central Asia,BIH,1970,2080.0,1.68987882137299,4715.13427734375,3514.947948455819,1.341452091606419
Europe and Central Asia,BIH,1980,2080.0,1.68987882137299,4715.13427734375,3514.947948455819,1.341452091606419
Europe and Central Asia,BIH,1990,2080.0,1.68987882137299,4715.13427734375,3514.947948455819,1.341452091606419
Europe and Central Asia,BIH,2000,2080.0,0.643303751945496,24712.36328125,1338.0718040466318,18.46863763701935
Europe and Central Asia,BIH,2010,2080.0,0.648355960845947,37825.7890625,1348.5803985595699,28.048597697921494
Europe and Central Asia,BIH,2019,2080.0,0.690263569355011,45519.39453125,1435.7482242584229,31.704301466060446
Europe and Central Asia,BLR,1960,2080.0,5.12582063674927,145443.546875,10661.706924438482,13.641675569004637
Europe and Central Asia,BLR,1970,2080.0,5.12582063674927,145443.546875,10661.706924438482,13.641675569004637
Europe and Central Asia,BLR,1980,2080.0,5.12582063674927,145443.546875,10661.706924438482,13.641675569004637
Europe and Central Asia,BLR,1990,2080.0,5.12582063674927,145443.546875,10661.706924438482,13.641675569004637
Europe and Central Asia,BLR,2000,2080.0,4.37210941314697,97634.8203125,9093.987579345698,10.736194596773874
Europe and Central Asia,BLR,2010,2080.0,4.5766716003418,177298.0625,9519.476928710945,18.624769388879475
Europe and Central Asia,BLR,2019,2080.0,4.30644178390503,204734.53125,8957.398910522463,22.856471314400615
Europe and Central Asia,CHE,1960,1964.82753909606,2.73865294456482,122343.0234375,5380.980725507473,22.73619432561004
Europe and Central Asia,CHE,1970,1993.08471696344,3.16901183128357,195546.640625,6316.109048807607,30.959984875802053
Europe and Central Asia,CHE,1980,1821.83959805182,3.21181750297546,221670.921875,5851.4163086366125,37.883293579336794
Europe and Central Asia,CHE,1990,1716.22087515004,3.8327240943908705,281153.5,6577.801099484144,42.742779197450815
Europe and Central Asia,CHE,2000,1712.74308206048,3.92828226089478,338538.15625,6728.138266728436,50.316765623577844
Europe and Central Asia,CHE,2010,1624.34638188442,4.38947868347168,505370.03125,7130.0338178560105,70.87905109010605
Europe and Central Asia,CHE,2019,1556.88284435749,5.01120471954346,646801.375,7801.8586574205,82.903498179221
Europe and Central Asia,CYP,1960,1926.39153640869,0.135900527238846,2432.67114257813,261.79762546639154,9.29218184559289
Europe and Central Asia,CYP,1970,1926.39153640869,0.15106888115406,5110.24169921875,291.0178140699114,17.55989307922955
Europe and Central Asia,CYP,1980,1926.39153640869,0.166821211576462,7733.477539062499,321.3629700743397,24.064619322112755
Europe and Central Asia,CYP,1990,1926.39153640869,0.226934641599655,13050.0517578125,437.16497289551484,29.851549339318968
Europe and Central Asia,CYP,2000,1926.39153640869,0.267729818820953,19111.001953125,515.7524570209158,37.054601859802624
Europe and Central Asia,CYP,2010,1844.9967991333,0.345667093992233,26408.330078125,637.7546819813795,41.40828883620183
Europe and Central Asia,CYP,2019,1805.23978482317,0.3665671646595,28032.4609375,661.7416294531554,42.36164038926376
Europe and Central Asia,CZE,1960,1895.56215453127,5.41425228118896,250478.53125,10263.05171930639,24.4058529665997
Europe and Central Asia,CZE,1970,1895.56215453127,5.41425228118896,250478.53125,10263.05171930639,24.4058529665997
Europe and Central Asia,CZE,1980,1895.56215453127,5.41425228118896,250478.53125,10263.05171930639,24.4058529665997
Europe and Central Asia,CZE,1990,1895.56215453127,5.41425228118896,250478.53125,10263.05171930639,24.4058529665997
Europe and Central Asia,CZE,2000,1895.56215453127,4.88687229156494,231387.78125,9263.370169918002,24.97879033285444
Europe and Central Asia,CZE,2010,1799.50051806914,5.09899091720581,318708.96875,9175.636797141695,34.73426158817458
Europe and Central Asia,CZE,2019,1787.54340166384,5.481432437896729,400833.1875,9798.298386028435,40.90844876407878
Europe and Central Asia,DEU,1960,2181.88667177432,37.4463844299316,816488.0,81703.76709380517,9.993272391743936
Europe and Central Asia,DEU,1970,1973.2090254053,38.0957984924316,1239415.0,75170.97341528765,16.487946659314353
Europe and Central Asia,DEU,1980,1756.72374726295,38.7049713134766,1724593.0,67993.94224351559,25.363921300863684
Europe and Central Asia,DEU,1990,1583.15823711075,39.54772949218751,2220630.25,62610.31370458439,35.46748320855966
Europe and Central Asia,DEU,2000,1465.93780490856,39.6031150817871,3034345.0,58055.703590536075,52.26609639254536
Europe and Central Asia,DEU,2010,1425.74546871955,40.6318817138672,3671042.25,57930.721239094906,63.36952434699837
Europe and Central Asia,DEU,2019,1386.1968343797,44.795196533203104,4273390.5,62094.959629742654,68.82024765747819
Europe and Central Asia,DNK,1960,1909.46823638276,2.11165714263916,62166.33984375,4032.1422400002557,15.417695146524904
Europe and Central Asia,DNK,1970,1845.34983707599,2.42261266708374,97974.8984375,4470.567890501209,21.91553754181233
Europe and Central Asia,DNK,1980,1577.43595044608,2.51569080352783,122824.15625,3968.3411136913846,30.95100767074631
Europe and Central Asia,DNK,1990,1440.49975513365,2.63417220115662,142960.296875,3794.5244107459794,37.67541894582117
Europe and Central Asia,DNK,2000,1465.93724479611,2.75595617294312,199704.484375,4040.058798943069,49.43108363354643
Europe and Central Asia,DNK,2010,1422.30635684719,2.79145050048828,271306.78125,3970.2977916687505,68.33411383380576
Europe and Central Asia,DNK,2019,1380.60764340558,2.97183656692505,311719.375,4102.940279248923,75.97463130929677
Europe and Central Asia,ESP,1960,2130.37402835247,12.3540811538696,195126.734375,26318.81363436251,7.413963907561456
Europe and Central Asia,ESP,1970,1996.72045686796,13.4512300491333,400118.5,26858.346209141477,14.897361769199927
Europe and Central Asia,ESP,1980,1918.12243888401,12.7240037918091,606668.625,24406.197185514262,24.85715494260098
Europe and Central Asia,ESP,1990,1746.52839962172,14.0393342971802,728235.75,24520.09606180846,29.699547186288207
Europe and Central Asia,ESP,2000,1752.82075838745,16.6057415008545,1151317.5,29106.888411113738,39.554812034129974
Europe and Central Asia,ESP,2010,1705.77553458184,19.4127388000488,1621938.875,33113.77490435087,48.98079061312007
Europe and Central Asia,ESP,2019,1685.95150557715,19.872013092041,1886185.75,33503.25039137536,56.2985897775923
Europe and Central Asia,EST,1960,1977.87288569964,0.828642129898071,19392.296875,1638.9488006737936,11.832155383394264
Europe and Central Asia,EST,1970,1977.87288569964,0.828642129898071,19392.296875,1638.9488006737936,11.832155383394264
Europe and Central Asia,EST,1980,1977.87288569964,0.828642129898071,19392.296875,1638.9488006737936,11.832155383394264
Europe and Central Asia,EST,1990,1977.87288569964,0.828642129898071,19392.296875,1638.9488006737936,11.832155383394264
Europe and Central Asia,EST,2000,1977.87288569964,0.599835336208344,18192.4296875,1186.398047371011,15.334170287799584
Europe and Central Asia,EST,2010,1874.70169677066,0.561121165752411,31754.8125,1051.9348015299756,30.187053849548988
Europe and Central Asia,EST,2019,1797.21453550251,0.672975540161133,44849.8984375,1209.4814228152416,37.08192419616122
Europe and Central Asia,FIN,1960,2030.51921633019,2.20509338378906,44097.359375,4477.484489586249,9.848690593470913
Europe and Central Asia,FIN,1970,1979.93688709776,2.28586792945862,72661.4765625,4525.874232568902,16.054683101800887
Europe and Central Asia,FIN,1980,1790.00889792805,2.36439990997314,101895.203125,4232.2968771122005,24.075627509978833
Europe and Central Asia,FIN,1990,1726.42197374818,2.47324681282043,137318.46875,4269.867644155843,32.15988882886041
Europe and Central Asia,FIN,2000,1704.71345334377,2.30501818656921,186445.546875,3929.395512846592,47.44891326552473
Europe and Central Asia,FIN,2010,1637.91237423337,2.49583029747009,233168.734375,4087.951328212813,57.038040733458935
Europe and Central Asia,FIN,2019,1590.69453809845,2.67370533943176,248472.46875,4253.048479918763,58.42220466641519
Europe and Central Asia,FRA,1960,2188.477149804,20.1682720184326,518929.59375,44137.80246337114,11.75703285592088
Europe and Central Asia,FRA,1970,1992.50797522987,21.3323135375977,905610.0625,42504.804853767535,21.306063293682637
