Entity,Year,Threshold,Percentage
North America,2010,5.50 - 10$ a day,0.016872483
North America,2010,above 10$ a day,0.963977155
South Asia,1980,below 1.90$ a day,0.52160338
South Asia,1980,1.9 - 3.20$ a day,0.318314377
South Asia,1980,3.20 - 5.50$ a day,0.118350094
South Asia,1980,5.50 - 10$ a day,0.032583132
South Asia,1980,above 10$ a day,0.009149017
South Asia,1990,below 1.90$ a day,0.412418773
South Asia,1990,1.9 - 3.20$ a day,0.363127278
South Asia,1990,3.20 - 5.50$ a day,0.16517355
South Asia,1990,5.50 - 10$ a day,0.047466502
South Asia,1990,above 10$ a day,0.011813897
South Asia,2000,below 1.90$ a day,0.308237467
South Asia,2000,1.9 - 3.20$ a day,0.385500866
South Asia,2000,3.20 - 5.50$ a day,0.209279987
South Asia,2000,5.50 - 10$ a day,0.073595215
South Asia,2000,above 10$ a day,0.023386463
South Asia,2010,below 1.90$ a day,0.155254648
South Asia,2010,1.9 - 3.20$ a day,0.372279239
South Asia,2010,3.20 - 5.50$ a day,0.309702486
South Asia,2010,5.50 - 10$ a day,0.12236321
South Asia,2010,above 10$ a day,0.040400417
Sub-Saharan Africa,1990,below 1.90$ a day,0.57991029
Sub-Saharan Africa,1990,1.9 - 3.20$ a day,0.198295575
Sub-Saharan Africa,1990,3.20 - 5.50$ a day,0.123706292
Sub-Saharan Africa,1990,5.50 - 10$ a day,0.062167026
Sub-Saharan Africa,1990,above 10$ a day,0.035920816
Sub-Saharan Africa,2000,below 1.90$ a day,0.511355162
Sub-Saharan Africa,2000,1.9 - 3.20$ a day,0.236080507
Sub-Saharan Africa,2000,3.20 - 5.50$ a day,0.147026881
Sub-Saharan Africa,2000,5.50 - 10$ a day,0.068556182
Sub-Saharan Africa,2000,above 10$ a day,0.036981268
Sub-Saharan Africa,2010,below 1.90$ a day,0.436522257
Sub-Saharan Africa,2010,1.9 - 3.20$ a day,0.250752194
Sub-Saharan Africa,2010,3.20 - 5.50$ a day,0.172830641
Sub-Saharan Africa,2010,5.50 - 10$ a day,0.090646669
Sub-Saharan Africa,2010,above 10$ a day,0.049248238
World,1980,below 1.90$ a day,0.387710472
World,1980,1.9 - 3.20$ a day,0.175646779
World,1980,3.20 - 5.50$ a day,0.101934736
World,1980,5.50 - 10$ a day,0.083868234
World,1980,above 10$ a day,0.250839778
World,1990,below 1.90$ a day,0.31836185
World,1990,1.9 - 3.20$ a day,0.211092135
World,1990,3.20 - 5.50$ a day,0.144228315
World,1990,5.50 - 10$ a day,0.095054589
World,1990,above 10$ a day,0.231263112
World,2000,below 1.90$ a day,0.213633638
World,2000,1.9 - 3.20$ a day,0.210819379
World,2000,3.20 - 5.50$ a day,0.17817921
World,2000,5.50 - 10$ a day,0.134794576
World,2000,above 10$ a day,0.262573197
World,2010,below 1.90$ a day,0.126318215
World,2010,1.9 - 3.20$ a day,0.18175374
World,2010,3.20 - 5.50$ a day,0.194560685
World,2010,5.50 - 10$ a day,0.17084778
World,2010,above 10$ a day,0.32651958
