Code,Metric,Year,Value
BEN,rgdpe,1990,6388.488281
BEN,pop,1990,4.978496
BEN,rgdpe,2000,10899.39551
BEN,pop,2000,6.865951
BEN,rgdpe,2010,17587.11914
BEN,pop,2010,9.199259
BEN,rgdpe,2019,36743.75
BEN,pop,2019,11.801151
BFA,rgdpe,1960,4647.222168
BFA,pop,1960,5.160125616
BFA,rgdpe,1970,5486.750977
BFA,pop,1970,5.6246
BFA,rgdpe,1980,7773.178223
BFA,pop,1980,6.822843
BFA,rgdpe,1990,9579.946289
BFA,pop,1990,8.811034
BFA,rgdpe,2000,15160.63965
BFA,pop,2000,11.607942
BFA,rgdpe,2010,24981.69141
BFA,pop,2010,15.605217
BFA,rgdpe,2019,43609.64453
BFA,pop,2019,20.321378
BGD,rgdpe,1960,83289.77344
BGD,pop,1960,52.08006939
BGD,rgdpe,1970,106080.4609
BGD,pop,1970,64.232482
BGD,rgdpe,1980,102637.1094
BGD,pop,1980,79.639491
BGD,rgdpe,1990,152639.1563
BGD,pop,1990,103.171956
BGD,rgdpe,2000,191051.9063
BGD,pop,2000,127.657854
BGD,rgdpe,2010,372894.6875
BGD,pop,2010,147.57543
BGD,rgdpe,2019,756497.8125
BGD,pop,2019,163.046161
BGR,rgdpe,1970,38292.29688
BGR,pop,1970,8.507551
BGR,rgdpe,1980,73467.07813
BGR,pop,1980,8.878791
BGR,rgdpe,1990,104720.0938
BGR,pop,1990,8.841458
BGR,rgdpe,2000,73985.59375
BGR,pop,2000,7.997957
BGR,rgdpe,2010,123560.8594
BGR,pop,2010,7.425008
BGR,rgdpe,2019,159397.2188
BGR,pop,2019,7.000119
BHR,rgdpe,1970,3449.473145
BHR,pop,1970,0.212605
BHR,rgdpe,1980,8716.956055
BHR,pop,1980,0.359888
BHR,rgdpe,1990,8247.585938
BHR,pop,1990,0.495931
BHR,rgdpe,2000,17489.93945
BHR,pop,2000,0.664611
BHR,rgdpe,2010,60682.85938
BHR,pop,2010,1.24086
BHR,rgdpe,2019,74093.67188
BHR,pop,2019,1.641172
BHS,rgdpe,1970,3239.37915
BHS,pop,1970,0.169377
BHS,rgdpe,1980,5420.140625
BHS,pop,1980,0.210591
BHS,rgdpe,1990,7824.532715
BHS,pop,1990,0.256223
BHS,rgdpe,2000,11541.79199
BHS,pop,2000,0.298051
BHS,rgdpe,2010,12138.64063
BHS,pop,2010,0.354942
BHS,rgdpe,2019,14412.19824
BHS,pop,2019,0.389482
BIH,rgdpe,1990,6945.224609
BIH,pop,1990,4.463423
BIH,rgdpe,2000,21479.18359
BIH,pop,2000,3.751176
BIH,rgdpe,2010,37409.30469
BIH,pop,2010,3.705472
BIH,rgdpe,2019,46948.66797
BIH,pop,2019,3.301
BLR,rgdpe,1990,151162.8438
BLR,pop,1990,10.151134
BLR,rgdpe,2000,89161.27344
BLR,pop,2000,9.871632
BLR,rgdpe,2010,166263.9375
BLR,pop,2010,9.420574
BLR,rgdpe,2019,201426.4219
BLR,pop,2019,9.452411
BLZ,rgdpe,1970,560.5187988
BLZ,pop,1970,0.122182
BLZ,rgdpe,1980,843.8458862
BLZ,pop,1980,0.144155
BLZ,rgdpe,1990,1360.118896
BLZ,pop,1990,0.187552
BLZ,rgdpe,2000,1745.856079
BLZ,pop,2000,0.247315
BLZ,rgdpe,2010,2494.988525
BLZ,pop,2010,0.322464
BLZ,rgdpe,2019,2680.773438
BLZ,pop,2019,0.390353
BMU,rgdpe,1970,1146.617065
BMU,pop,1970,0.052565
BMU,rgdpe,1980,1586.258301
BMU,pop,1980,0.057573
BMU,rgdpe,1990,1956.029663
BMU,pop,1990,0.061634
BMU,rgdpe,2000,2739.71582
BMU,pop,2000,0.065012
BMU,rgdpe,2010,5056.217285
BMU,pop,2010,0.065389
BMU,rgdpe,2019,4998.823242
BMU,pop,2019,0.062506
BOL,rgdpe,1960,5475.521973
BOL,pop,1960,3.5429416
BOL,rgdpe,1970,8295.275391
BOL,pop,1970,4.484004
BOL,rgdpe,1980,12776.41113
BOL,pop,1980,5.579935
BOL,rgdpe,1990,16287.58984
BOL,pop,1990,6.864842
BOL,rgdpe,2000,27823.69922
BOL,pop,2000,8.418264
BOL,rgdpe,2010,54543.86719
BOL,pop,2010,10.04859
BOL,rgdpe,2019,99349.51563
BOL,pop,2019,11.5131
BRA,rgdpe,1960,173109.3125
BRA,pop,1960,71.26694425
BRA,rgdpe,1970,363025.9688
BRA,pop,1970,95.113265
BRA,rgdpe,1980,720661.25
BRA,pop,1980,120.694009
BRA,rgdpe,1990,947197.125
BRA,pop,1990,149.003223
BRA,rgdpe,2000,1639936.625
BRA,pop,2000,174.79034
BRA,rgdpe,2010,2916864.25
BRA,pop,2010,195.713635
BRA,rgdpe,2019,3089203
BRA,pop,2019,211.049527
BRB,rgdpe,1960,2155.208252
BRB,pop,1960,0.232475231
BRB,rgdpe,1970,3608.477051
BRB,pop,1970,0.238896
BRB,rgdpe,1980,3501.09082
BRB,pop,1980,0.252394
BRB,rgdpe,1990,4100.15918
BRB,pop,1990,0.260936
BRB,rgdpe,2000,6461.460938
BRB,pop,2000,0.271515
BRB,rgdpe,2010,5364.115723
BRB,pop,2010,0.282131
BRB,rgdpe,2019,4848.913086
BRB,pop,2019,0.287025
BRN,rgdpe,1970,12960.41895
BRN,pop,1970,0.129529
BRN,rgdpe,1980,34324.78125
BRN,pop,1980,0.193879
BRN,rgdpe,1990,15302.98145
BRN,pop,1990,0.258721
BRN,rgdpe,2000,18974.98047
BRN,pop,2000,0.333165
BRN,rgdpe,2010,30159.58008
BRN,pop,2010,0.388646
BRN,rgdpe,2019,29260.01172
BRN,pop,2019,0.433285
BTN,rgdpe,1970,489.2615662
BTN,pop,1970,0.297316
BTN,rgdpe,1980,714.8883667
BTN,pop,1980,0.406875
BTN,rgdpe,1990,1477.826294
BTN,pop,1990,0.530804
BTN,rgdpe,2000,2624.762451
BTN,pop,2000,0.591021
BTN,rgdpe,2010,5386.910645
BTN,pop,2010,0.685503
BTN,rgdpe,2019,8526.732422
BTN,pop,2019,0.763092
BWA,rgdpe,1960,277.2850647
BWA,pop,1960,0.533875779
BWA,rgdpe,1970,602.5175171
BWA,pop,1970,0.627715
BWA,rgdpe,1980,2451.517578
BWA,pop,1980,0.897868
BWA,rgdpe,1990,9493.291992
BWA,pop,1990,1.286756
BWA,rgdpe,2000,19436.27148
BWA,pop,2000,1.643334
BWA,rgdpe,2010,29089.64844
BWA,pop,2010,1.987105
BWA,rgdpe,2019,39312.02344
BWA,pop,2019,2.303697
CAF,rgdpe,1960,2140.368164
CAF,pop,1960,1.445028485
CAF,rgdpe,1970,2778.334473
CAF,pop,1970,1.811144
CAF,rgdpe,1980,2494.211914
CAF,pop,1980,2.199356
CAF,rgdpe,1990,3352.388428
CAF,pop,1990,2.806734
CAF,rgdpe,2000,3787.625977
CAF,pop,2000,3.640427
CAF,rgdpe,2010,4817.987305
CAF,pop,2010,4.386768
CAF,rgdpe,2019,4532.345215
CAF,pop,2019,4.745185
CAN,rgdpe,1960,268906.2813
CAN,pop,1960,17.95126632
CAN,rgdpe,1970,437864.9375
CAN,pop,1970,21.374326
CAN,rgdpe,1980,676151
CAN,pop,1980,24.416886
CAN,rgdpe,1990,915672.1875
CAN,pop,1990,27.541319
CAN,rgdpe,2000,1276802.25
CAN,pop,2000,30.588383
CAN,rgdpe,2010,1482926.75
CAN,pop,2010,34.147564
CAN,rgdpe,2019,1846458.625
CAN,pop,2019,37.411047
CHE,rgdpe,1960,118576.4063
CHE,pop,1960,5.262624431
CHE,rgdpe,1970,192068.8906
CHE,pop,1970,6.150852
CHE,rgdpe,1980,219923.9688
CHE,pop,1980,6.283832
CHE,rgdpe,1990,283690.5938
CHE,pop,1990,6.652868
CHE,rgdpe,2000,345731.25
CHE,pop,2000,7.143761
CHE,rgdpe,2010,473394.2188
CHE,pop,2010,7.808675
CHE,rgdpe,2019,617216.1875
CHE,pop,2019,8.591365
CHL,rgdpe,1960,43301.94531
CHL,pop,1960,7.921014853
CHL,rgdpe,1970,74233.86719
CHL,pop,1970,9.783134
CHL,rgdpe,1980,87197.95313
CHL,pop,1980,11.419348
CHL,rgdpe,1990,109063.4844
CHL,pop,1990,13.274623
CHL,rgdpe,2000,182711.2813
CHL,pop,2000,15.342353
CHL,rgdpe,2010,352778.6875
CHL,pop,2010,17.062536
CHL,rgdpe,2019,447178.2188
CHL,pop,2019,18.952038
CHN,rgdpe,1960,653797.1875
CHN,pop,1960,656.3693517
CHN,rgdpe,1970,1075987.75
CHN,pop,1970,827.601394
CHN,rgdpe,1980,1680579.5
CHN,pop,1980,1000.089235
CHN,rgdpe,1990,2916101.25
CHN,pop,1990,1176.883674
CHN,rgdpe,2000,5514324
CHN,pop,2000,1290.550765
CHN,rgdpe,2010,13861126
CHN,pop,2010,1368.810615
CHN,rgdpe,2019,20056858
CHN,pop,2019,1433.783686
CIV,rgdpe,1960,6641.708496
CIV,pop,1960,3.270358206
CIV,rgdpe,1970,15499.00684
CIV,pop,1970,5.102064
CIV,rgdpe,1980,21593.54297
CIV,pop,1980,8.03365
CIV,rgdpe,1990,30259.99805
CIV,pop,1990,11.924877
CIV,rgdpe,2000,39960.66016
CIV,pop,2000,16.454668
